fid,NID,TITLE,SIG,CATEGORY,RESPID1,RESPID2,RESPNAME1,RESPNAME2,STATUS,SUBRF,START_DATE,END_DATE,AREA,LINK,WKT
"                  40","52772","Парк Морозовка","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"3.5","http://oopt.aari.ru/node/52772","POLYGON ((20.016871962000003 54.824942696, 20.016364221000078 54.82434133000008, 20.016488465000055 54.82432168500004, 20.016606666000076 54.82427932900001, 20.016637952000075 54.82423073600007, 20.016644367000072 54.82415067500003, 20.01669756300005 54.82412489000003, 20.016792573000092 54.82407830700007, 20.016828809000064 54.824004168000045, 20.01682177200011 54.8238821720001, 20.01675905900006 54.82376814300005, 20.016653568000045 54.82363186800008, 20.01665359900004 54.82360464700005, 20.01670423400007 54.82358521000004, 20.016813709000058 54.82356071900006, 20.016999416000054 54.82356291200007, 20.01706621900007 54.82356145500003, 20.01708854300006 54.82355057900011, 20.017103717000072 54.823530723000054, 20.017175077000033 54.823501649000036, 20.017342028000076 54.82349742100005, 20.01750197500007 54.823506407000075, 20.017638944000026 54.823492032000054, 20.01772424700008 54.82346905100011, 20.0177331300001 54.82343789200012, 20.01773916800007 54.823416761000026, 20.017721292000104 54.82335033800004, 20.017623264000076 54.82325808300007, 20.01717769600008 54.82308940500005, 20.016789257000088 54.82314851400005, 20.016365730000025 54.82320100900005, 20.01630409100009 54.82317970800007, 20.016131475000112 54.82329113600003, 20.01598525000007 54.82321546999999, 20.016132548000105 54.82312036300003, 20.015879228000113 54.82303283099997, 20.015700028000094 54.823123697000035, 20.0156344760001 54.82315571400002, 20.015615008000104 54.82263396300002, 20.0154047660001 54.82250327600001, 20.015199083000056 54.82237569700005, 20.015403251000052 54.82229150500002, 20.0159178150001 54.82209347100006, 20.016014213000084 54.822161271000056, 20.016111312000113 54.822139060000026, 20.01616809900012 54.82209966200007, 20.01608313100011 54.82202984100002, 20.016067678000056 54.82201806900006, 20.015726545000078 54.8217568260001, 20.015457445000006 54.821539735999984, 20.015241347000078 54.82143395500002, 20.015152775000026 54.82143075200004, 20.015135784000062 54.82146235400008, 20.01509269200003 54.82158061299999, 20.015424729000074 54.82187445200006, 20.015146730000062 54.82192147600006, 20.01503260300004 54.821835947000075, 20.014748397000066 54.82197462300009, 20.01435611300012 54.82223438200001, 20.013908229 54.822219290000085, 20.0136121570001 54.82235018600008, 20.013938352000103 54.82259365000008, 20.01450605200009 54.8230471410001, 20.01433055100003 54.82317398500002, 20.014368411000078 54.82320327200005, 20.014521625000025 54.82332304400003, 20.014479021000056 54.823769494, 20.014244469000026 54.82390722900003, 20.014355157000033 54.823988945000025, 20.014396317000063 54.82401297000008, 20.014441048000016 54.824006492000045, 20.01447866400005 54.823990047000045, 20.014521481000106 54.82394105200008, 20.014533563000043 54.82386366300008, 20.01459354500005 54.82383957600003, 20.014786749000034 54.823801522999986, 20.015204029000113 54.82384643600006, 20.01524312700005 54.823858398000084, 20.015308460000135 54.823889625999996, 20.015346295000057 54.8239240330001, 20.01536216400004 54.823967972000005, 20.015396328000033 54.82399622700002, 20.015513492000046 54.82403139100009, 20.015619219000076 54.824051238000045, 20.015689638000033 54.824083874000095, 20.0157364440001 54.824150549000095, 20.01574659400006 54.82418903100007, 20.015709099000063 54.82435128800009, 20.0157202680001 54.82438735600006, 20.01647547800005 54.82509658100003, 20.016871962000003 54.824942696))"
"                  41","52775","Парк Первомайский","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"3.48","http://oopt.aari.ru/node/52775","POLYGON ((20.735062190000072 54.80005393700006, 20.734576731000043 54.79895394300009, 20.733166187000055 54.798782928000065, 20.732010210000055 54.79899681300007, 20.73175680000006 54.79936264100008, 20.731852768000095 54.79958024600004, 20.731352380000086 54.79966837400005, 20.731290768000033 54.79967914800005, 20.731126519000043 54.79970809000003, 20.731154244000034 54.79984560900006, 20.731158827000048 54.79990277000009, 20.731786211 54.80017670400011, 20.732746609000063 54.800673953000015, 20.73280598800008 54.80071023700002, 20.735062190000072 54.80005393700006))"
"                  42","52778","Парк Сосновка","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"15.3","http://oopt.aari.ru/node/52778","POLYGON ((20.50792532900005 54.936494056000114, 20.508641803999993 54.93643349100007, 20.508644318000027 54.93624575900009, 20.508200326000065 54.93624357700006, 20.50820445400005 54.93598021900004, 20.508205319000037 54.935943215000094, 20.508417311000077 54.93594503700005, 20.50933526000008 54.93611582100006, 20.509521397000025 54.93614915200008, 20.509522326000123 54.93615616600004, 20.509552782000057 54.93636203000001, 20.509963967000072 54.93633260100006, 20.510444015000076 54.9363275100001, 20.510414919000056 54.93609659400008, 20.510366141000116 54.936007192000055, 20.510324031000007 54.93587939400004, 20.510120602000057 54.93545030600008, 20.51001716100002 54.93506241600004, 20.510118759000093 54.93473342499999, 20.509717306000066 54.93258151400001, 20.50943763500004 54.932599293000074, 20.509166941000007 54.93259333500002, 20.508921978000085 54.932521099000006, 20.508754088000046 54.93248206900007, 20.508478183000037 54.9325189190001, 20.508235996000078 54.93256824800008, 20.508081396000087 54.932574685000084, 20.50782004400005 54.93257625300003, 20.507544263000042 54.93260106400005, 20.506941924000024 54.93258713900004, 20.50656685300001 54.93265483600007, 20.50587458600009 54.932736958000106, 20.50497636000004 54.93270697900002, 20.50420069300008 54.93275951600002, 20.503789502000068 54.93283707500003, 20.503303567000007 54.93285539000005, 20.50391405300005 54.935140375000024, 20.504747411000018 54.935663220000016, 20.504894737000125 54.93591419100007, 20.50493829000008 54.93616597200003, 20.506598384000124 54.93646552700005, 20.507455520000086 54.936508201000024, 20.50792532900005 54.936494056000114), (20.506613776000062 54.93559498500007, 20.506828826000095 54.93559270200002, 20.50683732599999 54.93591607700007, 20.506629924000066 54.93595147800007, 20.506613776000062 54.93559498500007), (20.506323739000056 54.93560135800005, 20.506319075000093 54.935653964000046, 20.50569555200012 54.93565657700001, 20.50560999600005 54.93563902300006, 20.50550829200008 54.93561811000003, 20.505358764000057 54.93558739300004, 20.505352929000114 54.93515749700001, 20.505354669000056 54.93501009500007, 20.50560606400009 54.93500135800007, 20.50600747200007 54.93486272000005, 20.506428685000024 54.93486428400008, 20.50646004100004 54.93486443800002, 20.50650706400004 54.93540146500005, 20.506467765000057 54.93545398200002, 20.50642234500013 54.93551471600007, 20.506397059000076 54.93554847600001, 20.506390076000038 54.9355535430001, 20.506323739000056 54.93560135800005), (20.506209437000088 54.935891797999986, 20.506230942000094 54.935826298, 20.506226037000037 54.93569600200006, 20.506367426000015 54.93569458400004, 20.50637185500004 54.93582523600009, 20.50643610300002 54.93585996100004, 20.506491434000058 54.93596899900008, 20.506408973000088 54.93602576200001, 20.506237501000005 54.936032515000115, 20.506209437000088 54.935891797999986))"
"                  43","52780","Парк Янтарный (на берегу Балтийского моря)","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"10.04","http://oopt.aari.ru/node/52780","POLYGON ((19.935271562000125 54.87215432000003, 19.93527478200005 54.87210171400004, 19.935274205000077 54.872004949000114, 19.935158100000066 54.871968732000056, 19.935307088000044 54.87084578900004, 19.93530339500009 54.870790580999994, 19.936098305000048 54.870808400000044, 19.93636436400004 54.8708088420001, 19.936387703000005 54.87069737100002, 19.93646836600002 54.870324102000026, 19.93650813300002 54.87014006499998, 19.93654789900003 54.869956029000065, 19.936587671000037 54.86977181300008, 19.93662797100009 54.86958598600007, 19.936583073000094 54.86958273100008, 19.93665231000006 54.86926070800009, 19.936666618000096 54.86911166099998, 19.936527963000064 54.869103734000035, 19.936297318000094 54.86908971900005, 19.93631377900003 54.86899963400003, 19.93635342300012 54.86900174600005, 19.936544424000104 54.86901365000007, 19.93668509300001 54.86902600400003, 19.936698851000102 54.86897478700004, 19.936778195000077 54.868915133000094, 19.936502948000037 54.86885258800007, 19.93661139900004 54.86869375400006, 19.93688679700009 54.868756391, 19.93728758000014 54.86855322400007, 19.93664803900007 54.86843097800006, 19.936975279000038 54.86755875300012, 19.93703568500007 54.867397434, 19.936881529000022 54.86737934100001, 19.936922729000052 54.86726917100006, 19.93672329800006 54.86700435199998, 19.93644860500008 54.86701467400003, 19.93643762600007 54.86658438100006, 19.936584975000088 54.86635586700008, 19.93524351600011 54.86610699099998, 19.935056515000017 54.866088487000056, 19.93440730500003 54.866083979000045, 19.93422558700009 54.866435233000075, 19.93416264600002 54.866431392, 19.933785904000036 54.86648391699999, 19.93367658000006 54.866703200000025, 19.93370397900009 54.86692769400003, 19.93361225600006 54.866931220000076, 19.93363555900002 54.86709052900002, 19.933667454000012 54.86739027600003, 19.93394700500005 54.87004352000008, 19.934183106000134 54.87038130300005, 19.93442979400002 54.871815271000074, 19.934626377000132 54.872106381000066, 19.934844156000022 54.87216066700003, 19.935271562000125 54.87215432000003))"
"                  44","58200","Парк имени Макса Ашманна","Местное","городской (поселковый) парк культуры и отдыха","58201","58201","муниципальное казенное предприятие ""Дирекция ландшафтных парков""","муниципальное казенное предприятие ""Дирекция ландшафтных парков""","Действующий","Калининградская область","17.06.2020",,"2.53","http://oopt.aari.ru/node/58200","MULTIPOLYGON (((20.54718738100006 54.72291686099999, 20.5471393620001 54.72285676299998, 20.547121889000152 54.72286085500013, 20.547102255000144 54.72283645300024, 20.547090928000145 54.72282235400007, 20.54713571100006 54.722811548000024, 20.54703184200008 54.72268069300013, 20.54722731600009 54.72238407400005, 20.547460906000033 54.72233460700009, 20.547768860000122 54.72227006200017, 20.54795324299999 54.72224187800013, 20.547954307000108 54.72186556400009, 20.548010322000028 54.72181019300023, 20.54800502300003 54.72179721700006, 20.547983080999984 54.72174396100006, 20.548036118000017 54.721689916000116, 20.548124963000184 54.721672699000216, 20.547612989000136 54.721517965000025, 20.54743678200021 54.721464728, 20.547006431000003 54.721464307, 20.546974726000144 54.721515187000136, 20.54579833900005 54.72146608100002, 20.545810797000048 54.721045922000144, 20.545286994000158 54.72107462400019, 20.545293093000012 54.72111437700003, 20.545275811000185 54.72117955900012, 20.54523024000001 54.721351164000154, 20.545233837000062 54.72145441200017, 20.54530241900006 54.72155958300008, 20.545300081000057 54.72167150100012, 20.545359288000025 54.721716860000214, 20.545357347000174 54.72174128100003, 20.545305644000067 54.72182588000021, 20.5453456000002 54.721878462999975, 20.545355812000135 54.72192166000012, 20.54543585300007 54.721923515000185, 20.545634354000068 54.72197225000008, 20.545893620000065 54.72205907900002, 20.54611298900016 54.72225107700013, 20.54630362500012 54.72245103500011, 20.546355147000153 54.72256982300017, 20.54637196999999 54.72260893700024, 20.54636861600012 54.72264107300003, 20.54636432500019 54.72268047900012, 20.54626422200015 54.72281987700013, 20.546190384999978 54.72292272700007, 20.546487606000138 54.72306185200016, 20.54699096700017 54.72329747000009, 20.54705778499999 54.72332878100014, 20.547221068000106 54.7234051900001, 20.54732089999999 54.723298849000095, 20.54752723400019 54.72307930000015, 20.547490962000026 54.72307723300009, 20.547407256000042 54.72307256700001, 20.547307430000156 54.72306697300012, 20.54718738100006 54.72291686099999)), ((20.545069946000126 54.72112025700016, 20.54506681500009 54.721086635000226, 20.544354478000052 54.72112794000002, 20.544286857000095 54.721209454, 20.5446101880001 54.721770738000075, 20.544630958000198 54.72180673800005, 20.5446641270002 54.7218643910001, 20.544707779000085 54.721911252000154, 20.544938798000075 54.722158229000044, 20.545134819000047 54.72206051300013, 20.54519853600009 54.72202882800014, 20.54514818000018 54.72200419600007, 20.54514143800013 54.72190972900012, 20.54510005800012 54.72184446800013, 20.5451259140001 54.72177063700014, 20.54509444799999 54.72172009400013, 20.545079793000113 54.72161164300013, 20.545020131000175 54.72146835800009, 20.54501933700009 54.72132290800015, 20.545059370000107 54.721163030000234, 20.545069946000126 54.72112025700016)))"
"                  45","58203","Парк имени Ю. Гагарина","Местное","городской (поселковый) парк культуры и отдыха","58201","58201","муниципальное казенное предприятие ""Дирекция ландшафтных парков""","муниципальное казенное предприятие ""Дирекция ландшафтных парков""","Действующий","Калининградская область","17.06.2020",,"9.76","http://oopt.aari.ru/node/58203","POLYGON ((20.462396547000097 54.68560567600007, 20.46293604800007 54.68550172900002, 20.46302724100005 54.68428068900005, 20.466458327000094 54.684229266000074, 20.466499205 54.68393026100002, 20.46675107900007 54.683934012000066, 20.46676156700004 54.68378236300003, 20.46692625300008 54.683781633000066, 20.466983171000084 54.68285731300007, 20.46695593100005 54.682771927, 20.466377346000048 54.68280774700004, 20.466150354000003 54.682814079000025, 20.46466652000006 54.68288449, 20.46409088800004 54.682900739000026, 20.464096768000104 54.682805290000026, 20.46290495600006 54.68276441200004, 20.462916704000055 54.68263172800006, 20.462924612000098 54.68263170300004, 20.46293143100003 54.682465740000055, 20.4629409380001 54.68225928200005, 20.4629589310001 54.68199063600002, 20.462959485000056 54.68198057900006, 20.460788831000045 54.68216500700008, 20.460398710999993 54.68248442600013, 20.460360232000085 54.68255562200006, 20.460319428000005 54.68277332300003, 20.460249924000028 54.68318277200007, 20.460226531000043 54.68318195199999, 20.460197637000054 54.683317998000085, 20.459987874000113 54.683909389000064, 20.461566786000002 54.68391626200012, 20.461550899000112 54.684512470000065, 20.460985985 54.684514148, 20.460752935000095 54.68497311000007, 20.4607112630001 54.68506072000004, 20.46072902800006 54.68535669800011, 20.4607315320001 54.68553423600005, 20.46085349100005 54.68547351400007, 20.461733183000014 54.68566360099997, 20.462011143000012 54.685685453000026, 20.462396547000097 54.68560567600007))"
"                  46","58205","Парк Южный","Местное","городской (поселковый) парк культуры и отдыха","58201","58201","муниципальное казенное предприятие ""Дирекция ландшафтных парков""","муниципальное казенное предприятие ""Дирекция ландшафтных парков""","Действующий","Калининградская область","17.06.2020",,"33.98","http://oopt.aari.ru/node/58205","POLYGON ((20.51729995600006 54.69486362800011, 20.517295566000048 54.6947981040001, 20.51836013900003 54.694777906000006, 20.518872046000098 54.694767108000036, 20.519553864000027 54.694779802000085, 20.519943295000107 54.69480075900006, 20.519946739000112 54.694772216999986, 20.52075292500002 54.69486042300011, 20.520906437000036 54.6948754350001, 20.521131401000076 54.69444450800007, 20.521149056000034 54.69404514100006, 20.522224373000096 54.693886195000054, 20.522237807000064 54.69391594300002, 20.52267037200006 54.69384738600002, 20.522723778000035 54.693974194000035, 20.522736127000083 54.69400393500002, 20.52275308900005 54.69400145900009, 20.523018236000052 54.69396333100004, 20.523334346000098 54.69392110100002, 20.523322931000035 54.69359859100007, 20.523321998000043 54.69357145300004, 20.523312555000057 54.693298548000094, 20.523312758000085 54.69326243500006, 20.523558680000086 54.693251020000076, 20.523595783000058 54.693249417000025, 20.523583019000064 54.693156159000054, 20.523577678000077 54.693118297000005, 20.523549309000106 54.692913613000044, 20.523507762000058 54.692613421000004, 20.52321375300006 54.692468962000014, 20.522568726000074 54.692157235000096, 20.522504668000117 54.692137161, 20.522205392000043 54.69211510500006, 20.521918486000096 54.692108236000124, 20.52178193499999 54.692118330000056, 20.52161479000003 54.692211827000065, 20.52054280000006 54.69225418600001, 20.520208038000046 54.692244431000006, 20.5198176370001 54.692124647000036, 20.51971689 54.6921220770001, 20.519552770000104 54.69215091199999, 20.519289518999997 54.6919169320001, 20.51927249600001 54.69190179900007, 20.51834262800009 54.692070192000074, 20.51762069300012 54.69179351299999, 20.517565377000086 54.69178464200009, 20.51643139100004 54.69160279500002, 20.516329464000034 54.69111141300005, 20.514963336000083 54.69120652600012, 20.51477766200007 54.69031157900003, 20.514776544000085 54.690306270000036, 20.51477444100008 54.69029655200005, 20.514164447000063 54.690333346000074, 20.513094853000023 54.69044177700008, 20.51289775100005 54.69046181400004, 20.51271218900007 54.690485802000076, 20.511170439000043 54.69068525100005, 20.51119484500011 54.690702868000095, 20.511226575000073 54.69072566300011, 20.51169046800001 54.691059585000026, 20.511984886000022 54.69127145300004, 20.510890842 54.691691858000034, 20.510753163000064 54.69217366200011, 20.509379551000013 54.69213425800004, 20.509323289000076 54.691643494000026, 20.508405387000046 54.69110614900008, 20.508025970000016 54.69129733600006, 20.50780519400004 54.69140845400003, 20.50738874200005 54.69161821700007, 20.50674161400006 54.69194422900004, 20.506767609000075 54.69196015200002, 20.50691379700001 54.69204951000005, 20.5069352070001 54.69206252300007, 20.507013654000023 54.69211047700012, 20.50703658900006 54.692124581000044, 20.50844102400007 54.69298257100007, 20.508160224000022 54.69312700200003, 20.507205093000042 54.69360576800002, 20.50707450300007 54.693686144000104, 20.506866188000064 54.69381433600005, 20.506800866999985 54.693848954, 20.506854333000078 54.69388413700007, 20.506782353000062 54.69458007899997, 20.506763442000103 54.69478682500005, 20.509469969000037 54.69487596000007, 20.512574805000064 54.69497808900005, 20.512578167000072 54.69493319700009, 20.512580900000053 54.69489539700006, 20.512585404000045 54.694854734999986, 20.512684813000103 54.69394025100007, 20.51322429000007 54.69366143900003, 20.512145623000006 54.69294239800004, 20.51348846000008 54.692258888000055, 20.514711245000083 54.69303706400002, 20.513335944000083 54.693735968000034, 20.513055986000005 54.69387808, 20.51286986400006 54.69397276600004, 20.51285138300005 54.69413531700004, 20.513216673000066 54.694254480000076, 20.513469161999996 54.6943353980001, 20.513516426000088 54.69433711100006, 20.513525859000072 54.69431813800009, 20.513570563000126 54.69420879300009, 20.513648497000084 54.694165017000024, 20.514202061000056 54.693880469000106, 20.5147251970001 54.693617065000076, 20.515125434000076 54.693868911000045, 20.51575607200003 54.694279117000065, 20.51576102299999 54.694522612000036, 20.515440683000055 54.694512146000065, 20.51509628700007 54.69454964600006, 20.51501547500004 54.69459717500009, 20.514982006000103 54.69476437200005, 20.514948721000007 54.69503820600007, 20.51494700500005 54.69505211700005, 20.516444321000055 54.695098789000035, 20.51688322700004 54.695106302000006, 20.517315884000052 54.69510900400006, 20.51729995600006 54.69486362800011))"
"                  47","32098","Надеждинское 2","Региональное","государственный природный заказник","12290","32085","государственные бюджетное учреждение Калининградской области ""Природный парк ""Виштынецкий""","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","15.05.2013",,"2851.11","http://oopt.aari.ru/node/32098","POLYGON ((20.559694013371946 54.93369800990829, 20.562414328578445 54.9337404700316, 20.56382582458575 54.93321871631896, 20.564412645982905 54.932412398302915, 20.565194105936357 54.90957025140424, 20.565256860322165 54.90773472054091, 20.56512101301843 54.9050236313016, 20.563479754813695 54.90416176674495, 20.56023328758229 54.904161149444775, 20.560240831263183 54.90209193149244, 20.56087398488655 54.90154258902861, 20.56298296384173 54.901873562180256, 20.564996029011265 54.90191882849382, 20.565115178438695 54.89733037886472, 20.56392227052534 54.8974258355327, 20.563364492397863 54.89711948365295, 20.563229880675934 54.89627179727799, 20.563605209701247 54.894832590714536, 20.563758783919344 54.89422958445612, 20.5626806551446 54.89321755261621, 20.562499555094398 54.89165711121575, 20.562742706422103 54.89053569869585, 20.563656045200158 54.88889622184715, 20.56509203107338 54.88864011308202, 20.565175900000003 54.887718600000014, 20.565198072205092 54.88705902002064, 20.565203995657765 54.886882804873906, 20.56521419307341 54.886579440887694, 20.563843867022513 54.88635485294469, 20.55015198102846 54.88620982058088, 20.540059791831606 54.88624605455186, 20.523455941712104 54.88582271628219, 20.47048122691773 54.885867313485605, 20.467258154796955 54.886495821159755, 20.4674057 54.88783209999999, 20.46701930450691 54.888705173303315, 20.466864300000008 54.88905539999997, 20.46769050000004 54.89057949999999, 20.46965380000003 54.891937000000006, 20.473119200000014 54.892301100000005, 20.475476097739914 54.893002985130856, 20.4782122117253 54.89298220781136, 20.4785682 54.892979500000024, 20.478600325399757 54.89309614992644, 20.47888098744429 54.89411522773656, 20.4786973 54.894686300000004, 20.47672842494878 54.894929039731494, 20.47475336846109 54.895127697117516, 20.470846800000018 54.89444469999998, 20.46864530405714 54.893741506166144, 20.468140895838335 54.8944526208564, 20.468840717042866 54.89770129376418, 20.469802207219626 54.89991967754252, 20.470334870138434 54.90406657853232, 20.471025696436545 54.90944357237659, 20.471717025474963 54.909626280861346, 20.47270790224117 54.909594918037044, 20.472969947894157 54.908490409344466, 20.472865361552305 54.90710632435441, 20.475112559193427 54.90557507121091, 20.47711213216714 54.90412138535995, 20.479051972974737 54.902489080497986, 20.481909435311184 54.901680978440226, 20.483812000000004 54.901942500000025, 20.484644099999986 54.902778600000026, 20.485160800000028 54.904412100000044, 20.48410220000003 54.90475299999997, 20.482849688534607 54.90576789035365, 20.479793551340343 54.90737849790321, 20.476206100000006 54.9102443, 20.47583147098684 54.91217637941627, 20.476380633872395 54.912684839905445, 20.47772788836784 54.91393217495342, 20.477780560979006 54.91464572006262, 20.476779848493067 54.91542606680385, 20.475225148353022 54.91595435311019, 20.474476140948887 54.91725079818137, 20.4750176 54.91935480000001, 20.474470219170026 54.92056313253005, 20.47388070000001 54.92186439999996, 20.476002899999997 54.92411170000002, 20.476884700000003 54.92412099999999, 20.477673408540706 54.922919751386104, 20.47838314451073 54.920711513720164, 20.477907598053733 54.919492987347596, 20.477510477437207 54.9184753595083, 20.47786100000001 54.91752649999999, 20.478771099999996 54.91771910000002, 20.47945939999999 54.91878170000001, 20.479970931167333 54.91971368650293, 20.480059417781913 54.91987490051167, 20.480537172321135 54.920745299521876, 20.48119731053386 54.92101780692501, 20.482397728587937 54.921513325149036, 20.483066036354565 54.922514813917864, 20.482560200000016 54.92370789999999, 20.483295099999992 54.924777399999996, 20.48153683806956 54.925860893110546, 20.483695103137755 54.92658339645885, 20.48579652136089 54.926913296449236, 20.488084663461215 54.92717261481145, 20.489807809174554 54.92803583926589, 20.489483711698306 54.9291757852454, 20.489588608177772 54.9306741903692, 20.488777145256336 54.93117010208694, 20.485957291816465 54.93102510922998, 20.482785500000006 54.93077889999998, 20.479357599999986 54.9305169, 20.47701111038676 54.9310130552301, 20.47817861440102 54.931731389122774, 20.482758800000017 54.93173289999999, 20.48603728847987 54.931920290659384, 20.488948930286785 54.932276464657534, 20.491081897844374 54.933159485225815, 20.492899799329074 54.933327317534854, 20.50307613523471 54.933420696987845, 20.501749636432343 54.92927068365317, 20.49931820000002 54.9258973, 20.502536299739212 54.92541365788389, 20.50346825325502 54.920138923789324, 20.50811377837795 54.92001514873666, 20.5082876 54.9223058, 20.51111877193351 54.92264054116354, 20.513026550229295 54.92852339449269, 20.513985805352096 54.93321474677737, 20.51984302210021 54.93340105374906, 20.539446945686326 54.93344039928057, 20.537944000000003 54.9316202, 20.537918832056903 54.92894155502129, 20.541047770082855 54.929524698829574, 20.54262314963513 54.927354387544995, 20.54428828380466 54.926148005905546, 20.54688947288788 54.92613395250627, 20.546965810636294 54.926562669442866, 20.546852068481048 54.93147419448802, 20.544694987350407 54.93217703851251, 20.544023763851833 54.93345223342354, 20.559694013371946 54.93369800990829))"
"                  48","32104","Тихореченское","Региональное","государственный природный заказник","12290","32085","государственные бюджетное учреждение Калининградской области ""Природный парк ""Виштынецкий""","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","15.05.2013",,"468.89","http://oopt.aari.ru/node/32104","POLYGON ((20.075451942431048 54.806081171395455, 20.076728420948154 54.806307394562175, 20.081779854993357 54.805263187966624, 20.10657545760102 54.7997830260999, 20.109296464672994 54.798179236109966, 20.11145767299599 54.79630543830839, 20.11438211081199 54.79410285170909, 20.11415049341702 54.79327122300459, 20.07919644385106 54.776015251054346, 20.07831396417204 54.77628207040201, 20.078262044312655 54.78142082643019, 20.077053856710872 54.79202728747705, 20.075451942431048 54.806081171395455))"
"                  49","52768","Парк Журавлевка","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"3.82","http://oopt.aari.ru/node/52768","POLYGON ((20.942960791000047 54.83021000000004, 20.94324934800005 54.830118499000015, 20.943243461000097 54.82881241300004, 20.942984438000046 54.828795431000046, 20.942593455000043 54.828791460999994, 20.942624456000104 54.828478528000005, 20.942646421000074 54.82822843900003, 20.94237251900005 54.82821947800001, 20.942372490000057 54.828494542000016, 20.942015420000082 54.82849152100006, 20.94200838400004 54.82869244500006, 20.94102490300011 54.828685359000104, 20.941009559000083 54.82892784000009, 20.94033402700005 54.82891970500003, 20.940331477000107 54.82860348700006, 20.940330468000024 54.828362464, 20.940270436000045 54.82808849499999, 20.939677506000084 54.82809552500002, 20.93958843100009 54.82829843900005, 20.939336398000126 54.82834445100004, 20.939357464000075 54.82859849400009, 20.939612464000042 54.828613490000095, 20.93968542900003 54.82876246799998, 20.93946339400005 54.829020429000096, 20.93952751400011 54.82927851600005, 20.939507516000067 54.82945746600002, 20.940312439000035 54.829484475000044, 20.940307229000048 54.83004599100004, 20.942620084000023 54.830228609000066, 20.942960791000047 54.83021000000004))"
