fid,NID,TITLE,SIG,CATEGORY,RESPID1,RESPID2,RESPNAME1,RESPNAME2,STATUS,SUBRF,START_DATE,END_DATE,AREA,LINK,WKT
"                  11","52787","Тис ягодный","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"0","http://oopt.aari.ru/node/52787","POLYGON ((20.1536531510001 54.94373744400007, 20.15358362800003 54.94371559100003, 20.153537712000045 54.94375058600007, 20.15358864500008 54.94378760300003, 20.1536531510001 54.94373744400007))"
"                  12","52754","Девичий виноград","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"0.01","http://oopt.aari.ru/node/52754","POLYGON ((20.154299114000082 54.94335794500006, 20.15430897400009 54.94336191300005, 20.15438699900007 54.943298961000075, 20.154380014000125 54.94329295700002, 20.154373129000074 54.94327895900002, 20.15437807800005 54.943260955000035, 20.154396911000013 54.94324794900004, 20.154419107000077 54.943241987000064, 20.154451154000046 54.943186900000036, 20.154558987000083 54.94315786400005, 20.154676041000105 54.94317689900001, 20.15468997800009 54.94319483500007, 20.15477206200006 54.943194902000094, 20.154771949000043 54.94318385000006, 20.154698913000043 54.94318388100006, 20.154690001000105 54.94316986100004, 20.154564115000078 54.94314884500009, 20.154553001000046 54.94314989499998, 20.15444298400008 54.943178907000075, 20.15443711400004 54.94318189900006, 20.154414950000074 54.94321598000003, 20.154403102000078 54.94323498900011, 20.154389053000067 54.94323996000007, 20.154374938000064 54.943246996000035, 20.154368036000022 54.94325294200007, 20.154361068000064 54.94326095300003, 20.154357125000093 54.94327196100006, 20.154356899000078 54.943278966000015, 20.15436004300006 54.94328798300004, 20.154365092000113 54.943295942000084, 20.154368117000026 54.943298939000066, 20.154350032000114 54.94331294000006, 20.154333071000057 54.943325965999996, 20.154325043000103 54.94333297700004, 20.15430499100004 54.94334992200002, 20.154298935000064 54.94334895900003, 20.154290944000113 54.943349952000034, 20.154286010000064 54.94335295399999, 20.154199081000083 54.94342587300009, 20.154212027000067 54.943430952000085, 20.154299114000082 54.94335794500006))"
"                  13","52759","Жарновец метельчатый","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"0.18","http://oopt.aari.ru/node/52759","MULTIPOLYGON (((20.174408951000036 54.94705900000014, 20.173907015999994 54.94635004500001, 20.173482040000128 54.94629590300013, 20.173151973000127 54.94637903800003, 20.173285880999963 54.946570987000136, 20.173866023000027 54.94643702500007, 20.17433000400013 54.94707793600007, 20.174408951000036 54.94705900000014)), ((20.158304103000077 54.94424090400018, 20.158083935000043 54.94423497000026, 20.15807905200024 54.94432394599994, 20.158294008000098 54.94432695000004, 20.158304103000077 54.94424090400018)), ((20.15745106600014 54.94421198100018, 20.1573119250001 54.94420996300022, 20.157293907 54.94453794400009, 20.157428992999986 54.94453991900013, 20.15745106600014 54.94421198100018)))"
"                  14","52763","Магнолия Суланжа","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"0","http://oopt.aari.ru/node/52763","POLYGON ((20.16804681100007 54.94259359000005, 20.16801303400005 54.942551639000044, 20.16794236600006 54.942570478000086, 20.16797614300008 54.94261242900009, 20.16804681100007 54.94259359000005))"
"                  15","32100","Дунаевское","Региональное","государственный природный заказник","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","15.05.2013",,"342.5","http://oopt.aari.ru/node/32100","POLYGON ((20.183541735541638 54.87127598857905, 20.179734657655132 54.874079812420035, 20.180304768136622 54.875220428236005, 20.1828849428795 54.87726386282363, 20.18601055020351 54.87979064943308, 20.186659859878034 54.8809621017519, 20.18528168175414 54.88206566984775, 20.18316433183 54.882312709660034, 20.180101352889977 54.880574499664824, 20.177775378732562 54.87910679653852, 20.17668962700832 54.87842162925284, 20.176021063017174 54.879069775981755, 20.17577511114843 54.8805711685857, 20.17491646361718 54.883562331785235, 20.174743868882494 54.88909175469645, 20.17462485505099 54.89283181309289, 20.174604114105914 54.89348352334874, 20.1752622298216 54.89349266903275, 20.187817651413052 54.89366646545858, 20.187707412042162 54.893143706542595, 20.186354501321777 54.89253650812625, 20.185829283117364 54.89198336648984, 20.18454387650203 54.890522496288625, 20.182782146174247 54.889420900326314, 20.182027729144824 54.88841963043521, 20.181634319478334 54.88724903032381, 20.18195588695183 54.88608324493734, 20.18256280857971 54.88553770598764, 20.183915355366327 54.885150359368815, 20.18484413817198 54.88469424676021, 20.185931076275256 54.88398015338451, 20.18653306900266 54.88367502220502, 20.18921192504117 54.88379598444585, 20.191117679230967 54.883843039635934, 20.193565800238257 54.883584502986814, 20.194644334618555 54.88328249416213, 20.196554172148513 54.883123382332585, 20.198807135115008 54.88368788476783, 20.200761595864094 54.884284733229634, 20.203133161313314 54.88488428655334, 20.204814201724894 54.88528689139602, 20.20616156817383 54.884804881308995, 20.207753516006203 54.88423533986288, 20.20922493403685 54.884168358905775, 20.21015968949327 54.88338647918282, 20.21146617929747 54.882293597603365, 20.212443150105674 54.88197073875933, 20.213505088935744 54.88161978576952, 20.214265736153152 54.8791295307353, 20.21441261418099 54.87784699853277, 20.21341869000207 54.87687872595118, 20.20785648870361 54.876070680082506, 20.197787555696557 54.875024579608265, 20.19809132007914 54.874305203331595, 20.197176047238734 54.87282204191982, 20.19665626162319 54.86900558384589, 20.195807045121686 54.86534091208185, 20.194512635569698 54.86474187479364, 20.193888100436183 54.864452836119675, 20.193046885785698 54.86482511761779, 20.190208288122683 54.86676271900233, 20.18463545054213 54.87056594976585, 20.18426814782274 54.87081658429276, 20.183541735541638 54.87127598857905))"
"                  16","52756","Дуб черешчатый","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"0.05","http://oopt.aari.ru/node/52756","POLYGON ((20.175208394000062 54.5717454200001, 20.175337366000065 54.571715425, 20.17535634400004 54.571652376000046, 20.175344299000106 54.571592415000055, 20.175324331000045 54.571548452000066, 20.175260380999998 54.57153142700008, 20.17522135100006 54.57153344100008, 20.175044379000074 54.571565447000054, 20.17505037500003 54.571576470000046, 20.174990283000035 54.57158940300007, 20.17498435500008 54.57166040499998, 20.175018325000053 54.571721406000066, 20.175109334000034 54.571748420000084, 20.175208394000062 54.5717454200001))"
"                  17","32090","Пионерское","Региональное","государственный природный заказник","12290","32085","государственные бюджетное учреждение Калининградской области ""Природный парк ""Виштынецкий""","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","15.05.2013",,"300.81","http://oopt.aari.ru/node/32090","POLYGON ((20.184766802642418 54.94277625080599, 20.18487573703429 54.94377541852107, 20.184856977599665 54.94470262138645, 20.18670609321816 54.94509059380858, 20.18813319082563 54.945081207265154, 20.190114923594358 54.94513009059174, 20.191415908217657 54.94513874973755, 20.194451541712407 54.945158900280575, 20.19736682773257 54.944999848378544, 20.198917034980457 54.944938739382664, 20.201337385306523 54.94474066389491, 20.202579037522995 54.944530603156885, 20.203250500000006 54.94441700000002, 20.20389429841345 54.94390143883751, 20.20328255623811 54.94350510086524, 20.202607892588084 54.94307268064924, 20.202297799999997 54.94223270000002, 20.201521363636452 54.94171022469476, 20.201473552058836 54.94099658160946, 20.201194899999983 54.93975769999999, 20.201946723354418 54.93900236677976, 20.202877975712084 54.93890147691395, 20.204992455870944 54.93848732508414, 20.20742220923421 54.93778986074989, 20.210068556909963 54.93720769387524, 20.21214782725495 54.936893249658674, 20.21376729432942 54.936440070258975, 20.215750719237327 54.936381548688324, 20.218158714258166 54.93678938964465, 20.21982624138386 54.93704976736718, 20.221621803265762 54.937096943452005, 20.222982934344905 54.93666421504732, 20.223673000000005 54.93550639999996, 20.22269761082707 54.934589931365636, 20.221554600000037 54.93302059999998, 20.220668133535494 54.93195486673843, 20.220867026445173 54.93127847905284, 20.221752648267543 54.93032115779478, 20.22113267762642 54.929387047663845, 20.218310886246268 54.928943748441085, 20.215857385673445 54.92771528569354, 20.213060862982548 54.926560963888846, 20.20720539759145 54.926767501947054, 20.205770313434176 54.92689563594666, 20.20459967957447 54.927000144875336, 20.204211944866845 54.92781793719392, 20.204604673781272 54.929147963261585, 20.2043449311375 54.93049379640253, 20.20246729494054 54.931480154394336, 20.197789100000023 54.93107420000001, 20.19517040000002 54.9311616, 20.19333152226599 54.92992187912382, 20.19247469578781 54.929331513158125, 20.19132860000001 54.928541800000005, 20.189907479158 54.9291067017407, 20.187864899999997 54.93026789999998, 20.18780459849722 54.93037131166184, 20.186719643293408 54.93223181547852, 20.186741280486146 54.93422928670414, 20.186451069683027 54.936331670338774, 20.186155785962164 54.93868368431154, 20.185748801622186 54.94042926673294, 20.184682894549226 54.942006596822026, 20.184766802642418 54.94277625080599))"
"                  18","12278","Буковая роща с покровом из плюща вечнозеленого","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"16.08","http://oopt.aari.ru/node/12278","POLYGON ((20.21384525000007 54.569522558000024, 20.214639264000095 54.5695015600001, 20.215787306000042 54.56917556500002, 20.216919397000133 54.56875757900024, 20.216549244000174 54.56821961000007, 20.21635632000004 54.567373585000155, 20.216828268000143 54.566142542000115, 20.214296411000188 54.565731557000156, 20.211785237000075 54.56604251600019, 20.21002635200012 54.567311565000175, 20.210154344000053 54.56889156699997, 20.21176427800019 54.570023523000025, 20.213099343000128 54.57000753300013, 20.21384525000007 54.569522558000024))"
"                  19","32112","Могайкино","Региональное","государственный природный заказник","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","15.05.2013",,"381.75","http://oopt.aari.ru/node/32112","POLYGON ((20.311664451666115 54.892380136458954, 20.315122161260614 54.89218960930386, 20.320645000443104 54.891263185814616, 20.323116367238608 54.89116164766037, 20.323689791628116 54.89014441099756, 20.324399162541457 54.88760951118452, 20.324856052845398 54.886943831124775, 20.326372188016364 54.887010557061345, 20.328235530984315 54.88748735634935, 20.331818834958423 54.88794444298604, 20.33416020415611 54.88859958966936, 20.334888334667426 54.888894249190336, 20.33538782390084 54.88927599907822, 20.336211749938137 54.888315834086946, 20.33642564340796 54.88767813984865, 20.336691153180247 54.885960581644916, 20.33717958544325 54.88488336260441, 20.34165589563706 54.88275312112316, 20.339086390671834 54.8796166688038, 20.32823764789836 54.86911959957035, 20.32025235936979 54.86629520685686, 20.315652323475557 54.86653307858559, 20.314479632512462 54.86659369109419, 20.310779751131154 54.870129696329634, 20.312397639970317 54.875255489038125, 20.3138500100269 54.87985577088081, 20.3143953765572 54.88347409474436, 20.3088197445997 54.88691015489867, 20.308362707254645 54.88728838645754, 20.30626427170725 54.8887341819163, 20.311664451666115 54.892380136458954))"
"                  20","52784","Тис ягодный","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"0","http://oopt.aari.ru/node/52784","POLYGON ((20.45961808200006 54.727104802, 20.459538947000084 54.72710370599998, 20.459537823000076 54.727149783000065, 20.45961696900006 54.72715043000002, 20.45961808200006 54.727104802))"
