",№ обр.,""Глубина, м"",№ слоя,Гигр.влага,Содержание в %,""Диаметр частиц, мм"""
"113,9,2.7,4,1.4,60.2,""0,05-0,01"""
"114,10,2.9,5,1.39,62.18,""0,05-0,01"""
"115,11,3.13,5,1.72,62.6,""0,05-0,01"""
"116,12,3.33,5,1.39,56.06,""0,05-0,01"""
"117,13,3.55,6,1.36,56.45,""0,05-0,01"""
"118,14,3.78,6,1.54,56.71,""0,05-0,01"""
"119,15,4.14,6,1.66,62.68,""0,05-0,01"""
"120,16,4.32,6,1.54,64.55,""0,05-0,01"""
"121,17,4.42,6,1.4,42.72,""0,05-0,01"""
"122,18,4.49,7,1.71,39.85,""0,05-0,01"""
"123,19,4.57,7,1.83,42.09,""0,05-0,01"""
"124,20,4.69,8,2.08,50.24,""0,05-0,01"""
"125,21,4.8,8,2.37,36.14,""0,05-0,01"""
"126,22,4.97,8,2.3,38.16,""0,05-0,01"""
"127,23,5.06,8,2.51,34.18,""0,05-0,01"""
"128,24,5.21,9,3.35,18.95,""0,05-0,01"""
"129,25,5.37,10,3.21,15.7,""0,05-0,01"""
"130,26,5.48,10,2.39,20.77,""0,05-0,01"""
"131,27,5.55,10,2.93,15.66,""0,05-0,01"""
"132,28,5.64,11,2.68,22.57,""0,05-0,01"""
"133,29,5.78,11,2.53,20.44,""0,05-0,01"""
"134,30,5.85,12,0.86,5.57,""0,05-0,01"""
"135,31,5.92,12,0.41,10.41,""0,05-0,01"""
"136,32,5.95,12,1.45,10.56,""0,05-0,01"""
"137,33,6.01,12,1.97,17.95,""0,05-0,01"""
"138,34,6.24,13,0.32,8.99,""0,05-0,01"""
"139,35,6.5,14,0.52,2.04,""0,05-0,01"""
"140,1,0.27,1,1.63,14.77,""0,25-0,05"""
"141,2,0.59,2,0.39,25.5,""0,25-0,05"""
"142,3,0.73,3,1.77,16.26,""0,25-0,05"""
"143,4,1.0,3,1.54,19.51,""0,25-0,05"""
"144,5,1.35,3,1.23,12.09,""0,25-0,05"""
"145,6,1.67,3,1.58,14.3,""0,25-0,05"""
"146,7,2.26,3,1.37,21.97,""0,25-0,05"""
"147,8,2.4,4,1.56,23.12,""0,25-0,05"""
"148,9,2.7,4,1.4,13.17,""0,25-0,05"""
"149,10,2.9,5,1.39,13.13,""0,25-0,05"""
"150,11,3.13,5,1.72,9.21,""0,25-0,05"""
"151,12,3.33,5,1.39,14.89,""0,25-0,05"""
"152,13,3.55,6,1.36,18.77,""0,25-0,05"""
"153,14,3.78,6,1.54,15.77,""0,25-0,05"""
"154,15,4.14,6,1.66,8.23,""0,25-0,05"""
"155,16,4.32,6,1.54,6.38,""0,25-0,05"""
"156,17,4.42,6,1.4,23.14,""0,25-0,05"""
"157,18,4.49,7,1.71,20.81,""0,25-0,05"""
"158,19,4.57,7,1.83,17.54,""0,25-0,05"""
"159,20,4.69,8,2.08,8.35,""0,25-0,05"""
"160,21,4.8,8,2.37,22.25,""0,25-0,05"""
"161,22,4.97,8,2.3,13.12,""0,25-0,05"""
